,AUC_ROC
0,0.508
1,0.508
2,0.508
3,0.508
4,0.508
5,0.488
6,0.508
7,0.508
8,0.508
9,0.488
10,0.508
11,0.508
12,0.488
13,0.488
14,0.488
15,0.488
16,0.508
17,0.508
18,0.508
19,0.488
20,0.488
21,0.508
22,0.508
23,0.508
24,0.488
25,0.488
26,0.488
27,0.488
28,0.508
29,0.508
30,0.488
31,0.508
32,0.508
33,0.488
34,0.488
35,0.508
36,0.488
37,0.488
38,0.508
39,0.488
40,0.508
41,0.488
42,0.508
43,0.488
44,0.488
45,0.488
46,0.508
47,0.488
48,0.488
49,0.488
50,0.488
51,0.488
52,0.508
53,0.508
54,0.508
55,0.488
56,0.508
57,0.508
58,0.488
59,0.488
60,0.488
61,0.488
62,0.508
63,0.488
64,0.488
65,0.488
66,0.488
67,0.508
68,0.488
69,0.508
70,0.508
71,0.508
72,0.508
73,0.508
74,0.508
75,0.488
76,0.488
77,0.488
78,0.488
79,0.488
80,0.488
81,0.488
82,0.488
83,0.488
84,0.488
85,0.508
86,0.508
87,0.488
88,0.508
89,0.488
90,0.488
91,0.488
92,0.488
93,0.508
94,0.508
95,0.488
96,0.508
97,0.508
98,0.488
99,0.488
